Type	Type1	Type2	Fresh_fluor	Froz_fluor	Species	Common_name
Muc_total	Mucosome	Total_spores	20793	22060	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	20718	21981	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	20595	21850	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	20419	21663	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	20873	22145	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	20955	22232	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	21382	22685	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	21208	22501	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	21597	22913	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	23125	24534	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	23239	24656	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	23432	24860	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	24797	26308	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	23866	25320	Litoria caerulea	Aus. Green tree frog
Muc_total	Mucosome	Total_spores	25457	27008	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	21897	22554	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	21004	21635	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	21588	22236	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	22458	23132	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	22663	23343	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	23354	24055	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	21878	22535	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	22522	23198	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	22566	23243	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	25843	26619	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	25325	26085	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	25556	26323	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	30244	31152	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	29717	30609	Litoria caerulea	Aus. Green tree frog
Muc_viable	Mucosome	Viable_spores	31500	32445	Litoria caerulea	Aus. Green tree frog
Swab_total	Swab	Total_spores	20735	21358	Litoria caerulea	Aus. Green tree frog
Swab_total	Swab	Total_spores	20606	21225	Litoria caerulea	Aus. Green tree frog
Swab_total	Swab	Total_spores	20904	21532	Litoria caerulea	Aus. Green tree frog
Swab_total	Swab	Total_spores	20563	21180	Litoria caerulea	Aus. Green tree frog
Swab_total	Swab	Total_spores	19919	20517	Litoria caerulea	Aus. Green tree frog
Swab_total	Swab	Total_spores	20726	21348	Litoria caerulea	Aus. Green tree frog
Swab_total	Swab	Total_spores	20954	21583	Litoria caerulea	Aus. Green tree frog
Swab_total	Swab	Total_spores	20993	21623	Litoria caerulea	Aus. Green tree frog
