Type	Type1	Type2	Total_fluor	Species	Common_name	Viable_fluor	Per_viable
Muc_total	Mucosome	Total_spores	20793	Litoria caerulea	Aus. Green tree frog	21897	95
Muc_total	Mucosome	Total_spores	20718	Litoria caerulea	Aus. Green tree frog	21004	99
Muc_total	Mucosome	Total_spores	20595	Litoria caerulea	Aus. Green tree frog	21588	96
Muc_total	Mucosome	Total_spores	20419	Litoria caerulea	Aus. Green tree frog	22458	91
Muc_total	Mucosome	Total_spores	20873	Litoria caerulea	Aus. Green tree frog	22663	93
Muc_total	Mucosome	Total_spores	20955	Litoria caerulea	Aus. Green tree frog	23354	90
Muc_total	Mucosome	Total_spores	21382	Litoria caerulea	Aus. Green tree frog	21878	98
Muc_total	Mucosome	Total_spores	21208	Litoria caerulea	Aus. Green tree frog	22522	95
Muc_total	Mucosome	Total_spores	21597	Litoria caerulea	Aus. Green tree frog	22566	96
Muc_total	Mucosome	Total_spores	23125	Litoria caerulea	Aus. Green tree frog	25843	90
Muc_total	Mucosome	Total_spores	23239	Litoria caerulea	Aus. Green tree frog	25325	92
Muc_total	Mucosome	Total_spores	23432	Litoria caerulea	Aus. Green tree frog	25556	92
Muc_total	Mucosome	Total_spores	24797	Litoria caerulea	Aus. Green tree frog	30244	82
Muc_total	Mucosome	Total_spores	23866	Litoria caerulea	Aus. Green tree frog	29717	81
Muc_total	Mucosome	Total_spores	25457	Litoria caerulea	Aus. Green tree frog	31500	81
Swab_total	Swab	Total_spores	20735	Litoria caerulea	Aus. Green tree frog	20935.95	100
Swab_total	Swab	Total_spores	20606	Litoria caerulea	Aus. Green tree frog	21277.2	97
Swab_total	Swab	Total_spores	20904	Litoria caerulea	Aus. Green tree frog	21368.55	98
Swab_total	Swab	Total_spores	20563	Litoria caerulea	Aus. Green tree frog	20898.15	99
Swab_total	Swab	Total_spores	19919	Litoria caerulea	Aus. Green tree frog	20927.55	96
Swab_total	Swab	Total_spores	20726	Litoria caerulea	Aus. Green tree frog	21244.65	98
Swab_total	Swab	Total_spores	20954	Litoria caerulea	Aus. Green tree frog	21641.55	97
Swab_total	Swab	Total_spores	20993	Litoria caerulea	Aus. Green tree frog	21537.6	98
Swab_total	Swab	Total_spores	21862	Litoria caerulea	Aus. Green tree frog	22140.3	99
Swab_total	Swab	Total_spores	23169	Litoria caerulea	Aus. Green tree frog	25349.45	92
Swab_total	Swab	Total_spores	22578	Litoria caerulea	Aus. Green tree frog	22739.85	100
Swab_total	Swab	Total_spores	23827	Litoria caerulea	Aus. Green tree frog	24609.9	97
Swab_total	Swab	Total_spores	23681	Litoria caerulea	Aus. Green tree frog	23826.6	100
Swab_total	Swab	Total_spores	23244	Litoria caerulea	Aus. Green tree frog	23660.7	99
Swab_total	Swab	Total_spores	25091	Litoria caerulea	Aus. Green tree frog	26959.45	94
Muc_total	Mucosome	Total_spores	20941	Eurycea wilderae	Blue ridge two lined salamander	21177	99
Muc_total	Mucosome	Total_spores	21324	Eurycea wilderae	Blue ridge two lined salamander	22983	93
Muc_total	Mucosome	Total_spores	22110	Eurycea wilderae	Blue ridge two lined salamander	22683	98
Muc_total	Mucosome	Total_spores	20836	Eurycea wilderae	Blue ridge two lined salamander	20991	100
Muc_total	Mucosome	Total_spores	20559	Eurycea wilderae	Blue ridge two lined salamander	20785	99
Muc_total	Mucosome	Total_spores	21647	Eurycea wilderae	Blue ridge two lined salamander	22338	97
Muc_total	Mucosome	Total_spores	20343	Eurycea wilderae	Blue ridge two lined salamander	20363	100
Muc_total	Mucosome	Total_spores	19988	Eurycea wilderae	Blue ridge two lined salamander	20702	97
Muc_total	Mucosome	Total_spores	21398	Eurycea wilderae	Blue ridge two lined salamander	21958	98
Muc_total	Mucosome	Total_spores	20252	Eurycea wilderae	Blue ridge two lined salamander	20784	98
Muc_total	Mucosome	Total_spores	20882	Eurycea wilderae	Blue ridge two lined salamander	20929	100
Muc_total	Mucosome	Total_spores	21386	Eurycea wilderae	Blue ridge two lined salamander	22123	97
Muc_total	Mucosome	Total_spores	20686	Eurycea wilderae	Blue ridge two lined salamander	21600	96
Muc_total	Mucosome	Total_spores	20510	Eurycea wilderae	Blue ridge two lined salamander	21139	98
Muc_total	Mucosome	Total_spores	22371	Eurycea wilderae	Blue ridge two lined salamander	22592	100
Swab_total	Swab	Total_spores	21787	Eurycea wilderae	Blue ridge two lined salamander	23515.2	93
Swab_total	Swab	Total_spores	21816	Eurycea wilderae	Blue ridge two lined salamander	22162.35	99
Swab_total	Swab	Total_spores	23556	Eurycea wilderae	Blue ridge two lined salamander	25611.65	92
Swab_total	Swab	Total_spores	20256	Eurycea wilderae	Blue ridge two lined salamander	21234.15	96
Swab_total	Swab	Total_spores	20963	Eurycea wilderae	Blue ridge two lined salamander	21549.15	98
Swab_total	Swab	Total_spores	22130	Eurycea wilderae	Blue ridge two lined salamander	22661.1	98
