Raw Data (290/485)	SampleID	Location	Sublocation	Sublocation_2	Species	Month_sampled	Year_sampled	RIBBiTR_ID
62778	Br 61	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac061
61660	Br 61	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac061
56188	Br 61	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac061
63157	Br 64	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac064
63138	Br 64	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac064
54383	Br 64	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac064
63821	Br 62	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac062
63829	Br 62	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac062
67587	Br 62	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac062
61454	Br 65	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac065
64869	Br 65	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac065
63303	Br 65	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac065
72424	Br 63 	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac063
71864	Br 63 	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac063
68443	Br 63 	Brazil	Santa_Virginia	A4W	Hylodes_phyllodes	Nov	2022	BRBac063
79427	Br 42	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac042
79988	Br 42	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac042
69572	Br 42	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac042
64036	Br 49	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac049
62006	Br 49	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac049
58122	Br 49	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac049
63077	Br 46	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac046
62582	Br 46	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac046
57648	Br 46	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac046
61640	Br 41	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac041
61674	Br 41	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac041
65254	Br 41	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac041
60746	Br 45	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac045
64779	Br 45	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac045
55045	Br 45	Brazil	Santa_Virginia	Olho_de_agua	Ischnocnema_henselii	Nov	2022	BRBac045
22695	C 5	California	Unicorn	Unicorn	Rana muscosa	Oct	2022	BII0005
22101	C 5	California	Unicorn	Unicorn	Rana muscosa	Oct	2022	BII0005
24706	C 5	California	Unicorn	Unicorn	Rana muscosa	Oct	2022	BII0005
21297	C 75	California	Humphreys Basin	Ameletus Lake	Rana muscosa	Oct	2022	BII0075
21094	C 75	California	Humphreys Basin	Ameletus Lake	Rana muscosa	Oct	2022	BII0075
23990	C 75	California	Humphreys Basin	Ameletus Lake	Rana muscosa	Oct	2022	BII0075
21211	Ca 111	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0111
20398	Ca 111	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0111
23091	Ca 111	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0111
20500	Ca 95 	California	Humphreys Basin	Trapdoor	Rana muscosa	Oct	2022	BII0095
20749	Ca 95 	California	Humphreys Basin	Trapdoor	Rana muscosa	Oct	2022	BII0095
22102	Ca 95 	California	Humphreys Basin	Trapdoor	Rana muscosa	Oct	2022	BII0095
20603	Ca 132	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0132
20714	Ca 132	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0132
22747	Ca 132	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0132
19331	Ca 152	California	Fourth Recess	Sleet Lake	Rana muscosa	Oct	2022	BII0152
18855	Ca 152	California	Fourth Recess	Sleet Lake	Rana muscosa	Oct	2022	BII0152
19554	Ca 152	California	Fourth Recess	Sleet Lake	Rana muscosa	Oct	2022	BII0152
20665	Ca 133	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0133
20718	Ca 133	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0133
22576	Ca 133	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0133
19691	Ca 153	California	Fourth Recess	Sleet Lake	Rana muscosa	Oct	2022	BII0153
19586	Ca 153	California	Fourth Recess	Sleet Lake	Rana muscosa	Oct	2022	BII0153
19973	Ca 153	California	Fourth Recess	Sleet Lake	Rana muscosa	Oct	2022	BII0153
19234	Ca 113	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0113
19478	Ca 113	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0113
21675	Ca 113	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0113
22697	Ca 72	California		N/A	Rana muscosa	Oct	2022	BII0072
21506	Ca 72	California		N/A	Rana muscosa	Oct	2022	BII0072
21378	Ca 72	California		N/A	Rana muscosa	Oct	2022	BII0072
22482	Ca 114	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0114
21805	Ca 114	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0114
23708	Ca 114	California	Independence Creek	Slim Lake	Rana muscosa	Oct	2022	BII0114
23644	Ca 2	California	Unicorn	Unicorn	Rana muscosa	Oct	2022	BII0002
22345	Ca 2	California	Unicorn	Unicorn	Rana muscosa	Oct	2022	BII0002
22900	Ca 2	California	Unicorn	Unicorn	Rana muscosa	Oct	2022	BII0002
22609	Ca 163	California	Mulkey Meadows	Mulkey Meadows	Rana muscosa	Oct	2022	BII0163
23226	Ca 163	California	Mulkey Meadows	Mulkey Meadows	Rana muscosa	Oct	2022	BII0163
22839	Ca 163	California	Mulkey Meadows	Mulkey Meadows	Rana muscosa	Oct	2022	BII0163
22839	Ca 135	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0135
23333	Ca 135	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0135
22228	Ca 135	California	Conness Pond	Conness Pond	Rana muscosa	Oct	2022	BII0135
22065	Ca 93	California	Humphreys Basin	Trapdoor	Rana muscosa	Oct	2022	BII0093
21587	Ca 93	California	Humphreys Basin	Trapdoor	Rana muscosa	Oct	2022	BII0093
