Strain	No_spores	Fluorescens	Name	Equation
MADA2637	2.00E+07	99461	Virdibacillus arri	y=0.272x+23898.331
MADA2637	2.00E+07	99442	Virdibacillus arri	y=0.272x+23898.332
MADA2637	2.00E+07	99431	Virdibacillus arri	y=0.272x+23898.333
MADA2637	2.00E+05	78248	Virdibacillus arri	y=0.272x+23898.334
MADA2637	2.00E+05	78960	Virdibacillus arri	y=0.272x+23898.335
MADA2637	2.00E+05	77388	Virdibacillus arri	y=0.272x+23898.336
MADA2637	2.00E+04	27087	Virdibacillus arri	y=0.272x+23898.337
MADA2637	2.00E+04	30556	Virdibacillus arri	y=0.272x+23898.338
MADA2637	2.00E+04	29250	Virdibacillus arri	y=0.272x+23898.339
MADA2637	2.00E+02	23159	Virdibacillus arri	y=0.272x+23898.340
MADA2637	2.00E+02	24038	Virdibacillus arri	y=0.272x+23898.341
MADA2637	2.00E+02	25635	Virdibacillus arri	y=0.272x+23898.342
MADA2591	1.80E+06	104502	Lysinibacillus fusiformis	y=0.304x+21170.192
MADA2591	1.80E+06	101908	Lysinibacillus fusiformis	y=0.304x+21170.193
MADA2591	1.80E+06	102628	Lysinibacillus fusiformis	y=0.304x+21170.194
MADA2591	1.80E+05	80701	Lysinibacillus fusiformis	y=0.304x+21170.195
MADA2591	1.80E+05	73144	Lysinibacillus fusiformis	y=0.304x+21170.196
MADA2591	1.80E+05	73576	Lysinibacillus fusiformis	y=0.304x+21170.197
MADA2591	1.80E+03	22149	Lysinibacillus fusiformis	y=0.304x+21170.198
MADA2591	1.80E+03	20695	Lysinibacillus fusiformis	y=0.304x+21170.199
MADA2591	1.80E+03	20341	Lysinibacillus fusiformis	y=0.304x+21170.200
MADA2591	1.80E+01	21197	Lysinibacillus fusiformis	y=0.304x+21170.201
MADA2591	1.80E+01	21305	Lysinibacillus fusiformis	y=0.304x+21170.202
MADA2591	1.80E+01	22970	Lysinibacillus fusiformis	y=0.304x+21170.203
MADA2168	2.00E+07	135934	Bacillus tropicus	y=0.291x+27622.1
MADA2168	2.00E+07	135914	Bacillus tropicus	y=0.291x+27622.2
MADA2168	2.00E+07	135903	Bacillus tropicus	y=0.291x+27622.3
MADA2168	2.00E+05	82160	Bacillus tropicus	y=0.291x+27622.4
MADA2168	2.00E+05	82908	Bacillus tropicus	y=0.291x+27622.5
MADA2168	2.00E+05	92257	Bacillus tropicus	y=0.291x+27622.6
MADA2168	2.00E+03	28441	Bacillus tropicus	y=0.291x+27622.7
MADA2168	2.00E+03	32084	Bacillus tropicus	y=0.291x+27622.8
MADA2168	2.00E+03	30713	Bacillus tropicus	y=0.291x+27622.9
MADA2168	2.00E+02	24317	Bacillus tropicus	y=0.291x+27622.10
MADA2168	2.00E+02	25240	Bacillus tropicus	y=0.291x+27622.11
MADA2168	2.00E+02	26917	Bacillus tropicus	y=0.291x+27622.12
MADA2641	1.60E+07	107602	Bacillus proteolyticus	y=0.212x+26925.216
MADA2641	1.60E+07	97526	Bacillus proteolyticus	y=0.212x+26925.217
MADA2641	1.60E+07	98102	Bacillus proteolyticus	y=0.212x+26925.218
MADA2641	1.60E+05	64561	Bacillus proteolyticus	y=0.212x+26925.219
MADA2641	1.60E+05	58515	Bacillus proteolyticus	y=0.212x+26925.220
MADA2641	1.60E+05	58861	Bacillus proteolyticus	y=0.212x+26925.221
MADA2641	1.60E+03	37719	Bacillus proteolyticus	y=0.212x+26925.222
MADA2641	1.60E+03	36556	Bacillus proteolyticus	y=0.212x+26925.223
MADA2641	1.60E+03	36273	Bacillus proteolyticus	y=0.212x+26925.224
MADA2641	1.60E+02	16958	Bacillus proteolyticus	y=0.212x+26925.225
MADA2641	1.60E+02	17044	Bacillus proteolyticus	y=0.212x+26925.226
MADA2641	1.60E+02	18376	Bacillus proteolyticus	y=0.212x+26925.227
MADA3789	5.00E+07	132050	Bacillus subtilis	y=0.12x+26815.017
MADA3789	5.00E+07	132031	Bacillus subtilis	y=0.12x+26815.018
MADA3789	5.00E+07	132020	Bacillus subtilis	y=0.12x+26815.019
MADA3789	5.00E+05	79813	Bacillus subtilis	y=0.12x+26815.020
MADA3789	5.00E+05	80539	Bacillus subtilis	y=0.12x+26815.021
MADA3789	5.00E+05	99336	Bacillus subtilis	y=0.12x+26815.022
MADA3789	5.00E+03	27629	Bacillus subtilis	y=0.12x+26815.023
MADA3789	5.00E+03	31167	Bacillus subtilis	y=0.12x+26815.024
MADA3789	5.00E+03	29835	Bacillus subtilis	y=0.12x+26815.025
MADA3789	5.00E+02	23622	Bacillus subtilis	y=0.12x+26815.026
MADA3789	5.00E+02	24519	Bacillus subtilis	y=0.12x+26815.027
MADA3789	5.00E+02	26148	Bacillus subtilis	y=0.12x+26815.028
MADA237	2.20E+07	137192	Bacillus mycoides	y=0.254x+21567.938
MADA237	2.20E+07	124346	Bacillus mycoides	y=0.254x+21567.939
MADA237	2.20E+07	125081	Bacillus mycoides	y=0.254x+21567.940
MADA237	2.20E+05	82315	Bacillus mycoides	y=0.254x+21567.941
MADA237	2.20E+05	74607	Bacillus mycoides	y=0.254x+21567.942
MADA237	2.20E+05	75048	Bacillus mycoides	y=0.254x+21567.943
MADA237	2.20E+03	22592	Bacillus mycoides	y=0.254x+21567.944
MADA237	2.20E+03	21109	Bacillus mycoides	y=0.254x+21567.945
MADA237	2.20E+03	20748	Bacillus mycoides	y=0.254x+21567.946
MADA237	2.20E+02	21621	Bacillus mycoides	y=0.254x+21567.947
MADA237	2.20E+02	21731	Bacillus mycoides	y=0.254x+21567.948
MADA237	2.20E+02	23429	Bacillus mycoides	y=0.254x+21567.949
MADA3676	2.00E+07	138653	Paenibacillus taichynyensis	y=0.328x+25237.792
MADA3676	2.00E+07	138632	Paenibacillus taichynyensis	y=0.328x+25237.793
MADA3676	2.00E+07	138621	Paenibacillus taichynyensis	y=0.328x+25237.794
MADA3676	2.00E+05	83803	Paenibacillus taichynyensis	y=0.328x+25237.795
MADA3676	2.00E+05	84566	Paenibacillus taichynyensis	y=0.328x+25237.796
MADA3676	2.00E+05	104302	Paenibacillus taichynyensis	y=0.328x+25237.797
MADA3676	2.00E+04	29010	Paenibacillus taichynyensis	y=0.328x+25237.798
MADA3676	2.00E+04	32726	Paenibacillus taichynyensis	y=0.328x+25237.799
MADA3676	2.00E+04	31327	Paenibacillus taichynyensis	y=0.328x+25237.800
MADA3676	2.00E+02	24803	Paenibacillus taichynyensis	y=0.328x+25237.801
MADA3676	2.00E+02	25745	Paenibacillus taichynyensis	y=0.328x+25237.802
MADA3676	2.00E+02	27455	Paenibacillus taichynyensis	y=0.328x+25237.803
Bacillus subtilis	2.20E+07	109754	Bacillus subtilis type strain	y=0.157x+27463.636
Bacillus subtilis	2.20E+07	99477	Bacillus subtilis type strain	y=0.157x+27463.637
Bacillus subtilis	2.20E+07	100064	Bacillus subtilis type strain	y=0.157x+27463.638
Bacillus subtilis	2.20E+05	65852	Bacillus subtilis type strain	y=0.157x+27463.639
Bacillus subtilis	2.20E+05	59685	Bacillus subtilis type strain	y=0.157x+27463.640
Bacillus subtilis	2.20E+05	60038	Bacillus subtilis type strain	y=0.157x+27463.641
Bacillus subtilis	2.20E+03	38473	Bacillus subtilis type strain	y=0.157x+27463.642
Bacillus subtilis	2.20E+03	37287	Bacillus subtilis type strain	y=0.157x+27463.643
Bacillus subtilis	2.20E+03	36998	Bacillus subtilis type strain	y=0.157x+27463.644
Bacillus subtilis	2.20E+02	17297	Bacillus subtilis type strain	y=0.157x+27463.645
Bacillus subtilis	2.20E+02	17385	Bacillus subtilis type strain	y=0.157x+27463.646
Bacillus subtilis	2.20E+02	18744	Bacillus subtilis type strain	y=0.157x+27463.647
MADA468	2.00E+07	100456	Paenibacillus pabuli	y=0.277x+24384.792
MADA468	2.00E+07	101431	Paenibacillus pabuli	y=0.277x+24384.793
MADA468	2.00E+07	102414	Paenibacillus pabuli	y=0.277x+24384.794
MADA468	2.00E+05	79030	Paenibacillus pabuli	y=0.277x+24384.795
MADA468	2.00E+05	80539	Paenibacillus pabuli	y=0.277x+24384.796
MADA468	2.00E+05	79710	Paenibacillus pabuli	y=0.277x+24384.797
MADA468	2.00E+04	27358	Paenibacillus pabuli	y=0.277x+24384.798
MADA468	2.00E+04	31167	Paenibacillus pabuli	y=0.277x+24384.799
MADA468	2.00E+04	30128	Paenibacillus pabuli	y=0.277x+24384.800
MADA468	2.00E+02	23391	Paenibacillus pabuli	y=0.277x+24384.801
MADA468	2.00E+02	24519	Paenibacillus pabuli	y=0.277x+24384.802
MADA468	2.00E+02	26404	Paenibacillus pabuli	y=0.277x+24384.803
