SampleID	Time	Fluor	Sample_type	Common_name
1	4	22294	Swab	Fire salamander
1	4	21456	Swab	Fire salamander
1	4	22634	Swab	Fire salamander
9	4	20900	Swab	Fire salamander
9	4	21054	Swab	Fire salamander
9	4	21124	Swab	Spotted salamander
17	4	22764	Swab	Spotted salamander
17	4	22159	Swab	Spotted salamander
17	4	21747	Swab	Spotted salamander
25	4	21444	Swab	Spotted salamander
25	4	21295	Swab	Fire bellied toad
25	4	24264	Swab	Fire bellied toad
2	4	20882	Swab	Fire bellied toad
2	4	19770	Swab	Fire bellied toad
2	4	19262	Swab	Fire bellied toad
10	4	19534	Swab	Eastern newt
10	4	19500	Swab	Eastern newt
10	4	21814	Swab	Eastern newt
18	4	21412	Swab	Eastern newt
18	4	21029	Swab	Eastern newt
18	4	19608	Swab	Aus. Green tree frog
26	4	21164	Swab	Aus. Green tree frog
26	4	19947	Swab	Aus. Green tree frog
26	4	23051	Swab	Aus. Green tree frog
3	4	20922	Swab	Aus. Green tree frog
3	4	20149	Swab	Blue ridge two lined salamander
3	4	21621	Swab	Blue ridge two lined salamander
11	4	19279	Swab	Blue ridge two lined salamander
11	4	19038	Swab	Blue ridge two lined salamander
11	4	21384	Swab	Blue ridge two lined salamander
19	4	20942	Swab	Fire salamander
19	4	19439	Swab	Fire salamander
19	4	19199	Swab	Fire salamander
27	4	19111	Swab	Fire salamander
27	4	19395	Swab	Fire salamander
27	4	20395	Swab	Spotted salamander
4	4	20392	Swab	Spotted salamander
4	4	19485	Swab	Spotted salamander
4	4	20623	Swab	Spotted salamander
12	4	19329	Swab	Spotted salamander
12	4	19072	Swab	Fire bellied toad
12	4	20169	Swab	Fire bellied toad
20	4	18936	Swab	Fire bellied toad
20	4	18533	Swab	Fire bellied toad
20	4	19715	Swab	Fire bellied toad
28	4	20646	Swab	Eastern newt
28	4	19159	Swab	Eastern newt
28	4	22563	Swab	Eastern newt
5	4	20599	Swab	Eastern newt
5	4	20000	Swab	Eastern newt
5	4	19057	Swab	Aus. Green tree frog
13	4	18711	Swab	Aus. Green tree frog
13	4	18950	Swab	Aus. Green tree frog
13	4	19623	Swab	Aus. Green tree frog
21	4	18843	Swab	Aus. Green tree frog
21	4	19150	Swab	Blue ridge two lined salamander
21	4	19232	Swab	Blue ridge two lined salamander
29	4	20835	Swab	Blue ridge two lined salamander
29	4	19886	Swab	Blue ridge two lined salamander
29	4	22461	Swab	Blue ridge two lined salamander
6	4	20880	Swab	Fire salamander
6	4	19330	Swab	Fire salamander
6	4	20885	Swab	Fire salamander
14	4	19317	Swab	Fire salamander
14	4	19692	Swab	Fire salamander
14	4	19225	Swab	Spotted salamander
22	4	18809	Swab	Spotted salamander
22	4	18835	Swab	Spotted salamander
22	4	19121	Swab	Spotted salamander
30	4	18868	Swab	Spotted salamander
30	4	18915	Swab	Fire bellied toad
30	4	20836	Swab	Fire bellied toad
7	4	20981	Swab	Fire bellied toad
7	4	21054	Swab	Fire bellied toad
7	4	19549	Swab	Fire bellied toad
15	4	19514	Swab	Eastern newt
15	4	19180	Swab	Eastern newt
15	4	21489	Swab	Eastern newt
23	4	19478	Swab	Eastern newt
23	4	19384	Swab	Eastern newt
23	4	19927	Swab	Aus. Green tree frog
8	4	21966	Swab	Aus. Green tree frog
8	4	21276	Swab	Aus. Green tree frog
8	4	22936	Swab	Aus. Green tree frog
16	4	20834	Swab	Aus. Green tree frog
16	4	20513	Swab	Blue ridge two lined salamander
16	4	22085	Swab	Blue ridge two lined salamander
24	4	22815	Swab	Blue ridge two lined salamander
24	4	20466	Swab	Blue ridge two lined salamander
24	4	22149	Swab	Blue ridge two lined salamander
1	4	30937	Mucosome	Fire salamander
1	4	29127	Mucosome	Fire salamander
1	4	29502	Mucosome	Fire salamander
9	4	30272	Mucosome	Fire salamander
9	4	31287	Mucosome	Spotted salamander
9	4	31361	Mucosome	Spotted salamander
17	4	20907	Mucosome	Spotted salamander
17	4	21282	Mucosome	Spotted salamander
17	4	20322	Mucosome	Spotted salamander
25	4	27220	Mucosome	Fire bellied toad
25	4	26746	Mucosome	Fire bellied toad
25	4	28350	Mucosome	Fire bellied toad
2	4	19544	Mucosome	Fire bellied toad
2	4	18784	Mucosome	Fire bellied toad
2	4	18539	Mucosome	Eastern newt
10	4	24738	Mucosome	Eastern newt
10	4	26151	Mucosome	Eastern newt
10	4	26049	Mucosome	Eastern newt
18	4	19127	Mucosome	Eastern newt
18	4	37665	Mucosome	Aus. Green tree frog
18	4	21349	Mucosome	Aus. Green tree frog
26	4	19060	Mucosome	Aus. Green tree frog
26	4	20685	Mucosome	Aus. Green tree frog
26	4	20415	Mucosome	Aus. Green tree frog
3	4	34121	Mucosome	Blue ridge two lined salamander
3	4	31277	Mucosome	Blue ridge two lined salamander
3	4	31465	Mucosome	Blue ridge two lined salamander
11	4	18315	Mucosome	Blue ridge two lined salamander
11	4	18851	Mucosome	Blue ridge two lined salamander
11	4	19497	Mucosome	Fire salamander
19	4	18644	Mucosome	Fire salamander
19	4	18459	Mucosome	Fire salamander
19	4	18499	Mucosome	Fire salamander
27	4	18892	Mucosome	Fire salamander
27	4	18707	Mucosome	Spotted salamander
27	4	20105	Mucosome	Spotted salamander
4	4	19331	Mucosome	Spotted salamander
4	4	18834	Mucosome	Spotted salamander
4	4	17505	Mucosome	Spotted salamander
12	4	18875	Mucosome	Fire bellied toad
12	4	18974	Mucosome	Fire bellied toad
12	4	19985	Mucosome	Fire bellied toad
20	4	18702	Mucosome	Fire bellied toad
20	4	18403	Mucosome	Fire bellied toad
20	4	18190	Mucosome	Eastern newt
28	4	18327	Mucosome	Eastern newt
28	4	18632	Mucosome	Eastern newt
28	4	19763	Mucosome	Eastern newt
5	4	20590	Mucosome	Eastern newt
5	4	21019	Mucosome	Aus. Green tree frog
