Type	Type1	Type2	Fresh_fluor
Muc_total	Mucosome	Total_spores	20793
Muc_total	Mucosome	Total_spores	20718
Muc_total	Mucosome	Total_spores	20595
Muc_total	Mucosome	Total_spores	20419
Muc_total	Mucosome	Total_spores	20873
Muc_total	Mucosome	Total_spores	20955
Muc_total	Mucosome	Total_spores	21382
Muc_total	Mucosome	Total_spores	21208
Muc_total	Mucosome	Total_spores	21597
Muc_total	Mucosome	Total_spores	23125
Muc_total	Mucosome	Total_spores	23239
Muc_total	Mucosome	Total_spores	23432
Muc_total	Mucosome	Total_spores	24797
Muc_total	Mucosome	Total_spores	23866
Muc_total	Mucosome	Total_spores	25457
Muc_viable	Mucosome	Viable_spores	21897
Muc_viable	Mucosome	Viable_spores	21004
Muc_viable	Mucosome	Viable_spores	21588
Muc_viable	Mucosome	Viable_spores	22458
Muc_viable	Mucosome	Viable_spores	22663
Muc_viable	Mucosome	Viable_spores	23354
Muc_viable	Mucosome	Viable_spores	21878
Muc_viable	Mucosome	Viable_spores	22522
Muc_viable	Mucosome	Viable_spores	22566
Muc_viable	Mucosome	Viable_spores	25843
Muc_viable	Mucosome	Viable_spores	25325
Muc_viable	Mucosome	Viable_spores	25556
Muc_viable	Mucosome	Viable_spores	30244
Muc_viable	Mucosome	Viable_spores	29717
Muc_viable	Mucosome	Viable_spores	31500
Swab_total	Swab	Total_spores	20735
Swab_total	Swab	Total_spores	20606
Swab_total	Swab	Total_spores	20904
Swab_total	Swab	Total_spores	20563
Swab_total	Swab	Total_spores	19919
Swab_total	Swab	Total_spores	20726
Swab_total	Swab	Total_spores	20954
Swab_total	Swab	Total_spores	20993
Swab_total	Swab	Total_spores	21862
Swab_total	Swab	Total_spores	23169
Swab_total	Swab	Total_spores	22578
Swab_total	Swab	Total_spores	23827
Swab_total	Swab	Total_spores	23681
Swab_total	Swab	Total_spores	23244
Swab_total	Swab	Total_spores	25091
Swab_viable	Swab	Viable_spores	20935.95
Swab_viable	Swab	Viable_spores	21277.2
Swab_viable	Swab	Viable_spores	21368.55
Swab_viable	Swab	Viable_spores	20898.15
Swab_viable	Swab	Viable_spores	20927.55
Swab_viable	Swab	Viable_spores	21244.65
Swab_viable	Swab	Viable_spores	21641.55
Swab_viable	Swab	Viable_spores	21537.6
Swab_viable	Swab	Viable_spores	22140.3
Swab_viable	Swab	Viable_spores	25349.45
Swab_viable	Swab	Viable_spores	22739.85
Swab_viable	Swab	Viable_spores	24609.9
Swab_viable	Swab	Viable_spores	23826.6
Swab_viable	Swab	Viable_spores	23660.7
Swab_viable	Swab	Viable_spores	26959.45
Muc_total	Mucosome	Total_spores	20941
Muc_total	Mucosome	Total_spores	21324
Muc_total	Mucosome	Total_spores	22110
Muc_total	Mucosome	Total_spores	20836
Muc_total	Mucosome	Total_spores	20559
Muc_total	Mucosome	Total_spores	21647
Muc_total	Mucosome	Total_spores	20343
Muc_total	Mucosome	Total_spores	19988
Muc_total	Mucosome	Total_spores	21398
Muc_total	Mucosome	Total_spores	20252
Muc_total	Mucosome	Total_spores	20882
Muc_total	Mucosome	Total_spores	21386
Muc_total	Mucosome	Total_spores	20686
Muc_total	Mucosome	Total_spores	20510
Muc_total	Mucosome	Total_spores	22371
Muc_viable	Mucosome	Viable_spores	21177
Muc_viable	Mucosome	Viable_spores	22983
Muc_viable	Mucosome	Viable_spores	22683
Muc_viable	Mucosome	Viable_spores	20991
Muc_viable	Mucosome	Viable_spores	20785
Muc_viable	Mucosome	Viable_spores	22338
Muc_viable	Mucosome	Viable_spores	20363
Muc_viable	Mucosome	Viable_spores	20702
Muc_viable	Mucosome	Viable_spores	21958
Muc_viable	Mucosome	Viable_spores	20784
Muc_viable	Mucosome	Viable_spores	20929
Muc_viable	Mucosome	Viable_spores	22123
Muc_viable	Mucosome	Viable_spores	21600
Muc_viable	Mucosome	Viable_spores	21139
Muc_viable	Mucosome	Viable_spores	22592
Swab_total	Swab	Total_spores	21787
Swab_total	Swab	Total_spores	21816
Swab_total	Swab	Total_spores	23556
Swab_total	Swab	Total_spores	20256
Swab_total	Swab	Total_spores	20963
Swab_total	Swab	Total_spores	22130
Swab_total	Swab	Total_spores	21056
Swab_total	Swab	Total_spores	20926
Swab_total	Swab	Total_spores	23450
Swab_total	Swab	Total_spores	21149
Swab_total	Swab	Total_spores	21549
Swab_total	Swab	Total_spores	23196
Swab_total	Swab	Total_spores	20940
Swab_total	Swab	Total_spores	20933
Swab_total	Swab	Total_spores	22260
Swab_viable	Swab	Viable_spores	23515.2
Swab_viable	Swab	Viable_spores	22162.35
Swab_viable	Swab	Viable_spores	25611.65
Swab_viable	Swab	Viable_spores	21234.15
Swab_viable	Swab	Viable_spores	21549.15
Swab_viable	Swab	Viable_spores	22661.1
Swab_viable	Swab	Viable_spores	22939.05
Swab_viable	Swab	Viable_spores	21287.7
Swab_viable	Swab	Viable_spores	25070
Swab_viable	Swab	Viable_spores	23149.5
Swab_viable	Swab	Viable_spores	22094.95
Swab_viable	Swab	Viable_spores	24956.15
Swab_viable	Swab	Viable_spores	20964.3
Swab_viable	Swab	Viable_spores	21015.75
Swab_viable	Swab	Viable_spores	23150.4
Muc_total	Mucosome	Total_spores	21443
Muc_total	Mucosome	Total_spores	21816
Muc_total	Mucosome	Total_spores	21735
Muc_total	Mucosome	Total_spores	22184
Muc_total	Mucosome	Total_spores	23573
Muc_total	Mucosome	Total_spores	22489
Muc_total	Mucosome	Total_spores	20776
Muc_total	Mucosome	Total_spores	40553
Muc_total	Mucosome	Total_spores	23610
Muc_total	Mucosome	Total_spores	20665
Muc_total	Mucosome	Total_spores	20494
Muc_total	Mucosome	Total_spores	20497
Muc_total	Mucosome	Total_spores	20099
Muc_total	Mucosome	Total_spores	20336
Muc_total	Mucosome	Total_spores	20152
Muc_viable	Mucosome	Viable_spores	22631
Muc_viable	Mucosome	Viable_spores	22496
Muc_viable	Mucosome	Viable_spores	22592
Muc_viable	Mucosome	Viable_spores	23229
Muc_viable	Mucosome	Viable_spores	23646
Muc_viable	Mucosome	Viable_spores	22580
Muc_viable	Mucosome	Viable_spores	21252
Muc_viable	Mucosome	Viable_spores	41849
Muc_viable	Mucosome	Viable_spores	23721
Muc_viable	Mucosome	Viable_spores	20715
Muc_viable	Mucosome	Viable_spores	20510
Muc_viable	Mucosome	Viable_spores	20554
